max_valid_early,useful_count,too_early_count,late_count,missed_count,actionable_rate,too_early_rate,late_rate,missed_rate,precision,recall,f1
55,6,8,1,0,0.4,0.5333333333333333,0.06666666666666667,0.0,0.4,0.4,0.4000000000000001
70,10,4,1,0,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
90,11,3,1,0,0.7333333333333333,0.2,0.06666666666666667,0.0,0.7333333333333333,0.7333333333333333,0.7333333333333333
100,14,0,1,0,0.9333333333333333,0.0,0.06666666666666667,0.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
